id,ms_id,MSID,style,crop,crop_group,germplasm,organisation,short_name,long_name,description,subregion,countries,total_target_area,material_type,consumer_product_types,agroecological_zone,production_system,maturity,colors,time_horizon,status,is_tpp,is_pipeline,shareable_link
639,1288,MS01288,dt-active,Banana,"Roots, tubers and bananas (RTBs)",Dessert,IITA,Banana Dessert CAF MS01288,Banana - Dessert | Non-Hybrid | CAF | Food; Fresh Market | NA | Mid Altitude; Highlands | Rainfed | NA,,Central Africa,Democratic Republic of Congo(212400),212400,Non-Hybrid,Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Dessert+CAF+MS01288
82,266,MS00266,,Barley,Cereals,No Germplasm Type,ICARDA,Barley CA MS00266,Barley | Non-Hybrid | CA | Feed; Malting | Amber Hulled | Optimum | Rainfed | Early,,Central Asia,Kazakhstan(243775),243775,Non-Hybrid,Feed; Malting,Optimum,Rainfed,Early,Amber Hulled,Current,Active,Barley CA ICARDA TPP00145,Barley ICARDA BP00063,https://glomip.cgiar.org/market-segments/profile/Barley+CA+MS00266
80,264,MS00264,,Barley,Cereals,No Germplasm Type,ICARDA,Barley EAF MS00264,Barley | Non-Hybrid | EAF | Food; Feed | Amber Hulled; Amber Hulless | Optimum | Rainfed | Early,,East Africa,Ethiopia(677261),677261,Non-Hybrid,Feed; Food,Optimum,Rainfed,Early,Amber Hulled; Amber Hulless,Current,Active,Barley EAF ICARDA TPP00143,Barley ICARDA BP00062,https://glomip.cgiar.org/market-segments/profile/Barley+EAF+MS00264
81,265,MS00265,,Barley,Cereals,No Germplasm Type,ICARDA,Barley EAF MS00265,Barley | Non-Hybrid | EAF | Feed; Malting | Amber Hulled | Optimum | Rainfed | Early,,East Africa,Ethiopia(397757),397757,Non-Hybrid,Feed; Malting,Optimum,Rainfed,Early,Amber Hulled,Current,Active,Barley EAF ICARDA TPP00144,Barley ICARDA BP00063,https://glomip.cgiar.org/market-segments/profile/Barley+EAF+MS00265
71,255,MS00255,,Barley,Cereals,No Germplasm Type,ICARDA,Barley NAF MS00255,Barley | Non-Hybrid | NAF | Feed | Amber Hulled | Semiarid; Arid | Rainfed | Early,,North Africa,Algeria(433205); Egypt(17847); Morocco(487688); Tunisia(328056),1266796,Non-Hybrid,Feed,Arid; Semiarid,Rainfed,Early,Amber Hulled,Current,Active,Barley NAF ICARDA TPP00134,Barley ICARDA BP00060,https://glomip.cgiar.org/market-segments/profile/Barley+NAF+MS00255
74,258,MS00258,,Barley,Cereals,No Germplasm Type,ICARDA,Barley NAF MS00258,Barley | Non-Hybrid | NAF | Feed; Forage | Amber Hulled | Optimum | Rainfed | Mid,,North Africa,Algeria(243678); Morocco(292613); Tunisia(57410),593701,Non-Hybrid,Feed; Forage,Optimum,Rainfed,Mid,Amber Hulled,Current,Active,Barley NAF ICARDA TPP00137,Barley ICARDA BP00061,https://glomip.cgiar.org/market-segments/profile/Barley+NAF+MS00258
77,261,MS00261,,Barley,Cereals,No Germplasm Type,ICARDA,Barley NAF MS00261,Barley | Non-Hybrid | NAF | Feed; Food | Amber Hulless | Semiarid; Arid | Rainfed | Early,,North Africa,Algeria(270753); Morocco(329190); Tunisia(24604),624547,Non-Hybrid,Feed; Food,Arid; Semiarid,Rainfed,Early,Amber Hulless,Current,Active,Barley NAF ICARDA TPP00140,Barley ICARDA BP00062,https://glomip.cgiar.org/market-segments/profile/Barley+NAF+MS00261
76,260,MS00260,,Barley,Cereals,No Germplasm Type,ICARDA,Barley SA MS00260,Barley | Non-Hybrid | SA | Feed; Forage | Amber Hulled | Optimum | Rainfed | Early,,South Asia,India(422983),422983,Non-Hybrid,Feed; Forage,Optimum,Rainfed,Early,Amber Hulled,Current,Active,Barley SA ICARDA TPP00139,Barley ICARDA BP00061,https://glomip.cgiar.org/market-segments/profile/Barley+SA+MS00260
79,263,MS00263,,Barley,Cereals,No Germplasm Type,ICARDA,Barley SA MS00263,Barley | Non-Hybrid | SA | Feed; Food | Amber Hulless | Arid; Semiarid | Rainfed | Mid,,South Asia,India(56110),56110,Non-Hybrid,Feed; Food,Arid; Semiarid,Rainfed,Mid,Amber Hulless,Current,Active,Barley SA ICARDA TPP00142,Barley ICARDA BP00062,https://glomip.cgiar.org/market-segments/profile/Barley+SA+MS00263
83,267,MS00267,,Barley,Cereals,No Germplasm Type,ICARDA,Barley SA MS00267,Barley | Non-Hybrid | SA | Feed; Malting | Amber Hulled | Optimum | Rainfed | Early,,South Asia,India(129485),129485,Non-Hybrid,Feed; Malting,Optimum,Rainfed,Early,Amber Hulled,Current,Active,Barley SA ICARDA TPP00146,Barley ICARDA BP00063,https://glomip.cgiar.org/market-segments/profile/Barley+SA+MS00267
72,256,MS00256,,Barley,Cereals,No Germplasm Type,ICARDA,Barley WA MS00256,Barley | Non-Hybrid | WA | Feed | Amber Hulled | Semiarid; Arid | Rainfed | Early,,West Asia,Iran(929006); Iraq(162597); Jordan(43894); Syria(1008574),2144071,Non-Hybrid,Feed,Arid; Semiarid,Rainfed,Early,Amber Hulled,Current,Active,Barley WA ICARDA TPP00135,Barley ICARDA BP00060,https://glomip.cgiar.org/market-segments/profile/Barley+WA+MS00256
75,259,MS00259,,Barley,Cereals,No Germplasm Type,ICARDA,Barley WA MS00259,Barley | Non-Hybrid | WA | Feed; Forage | Amber Hulled | Optimum | Rainfed | Mid,,West Asia,Iran(650304); Iraq(43558); Syria(302572),996434,Non-Hybrid,Feed; Forage,Optimum,Rainfed,Mid,Amber Hulled,Current,Active,Barley WA ICARDA TPP00138 ;Barley WA ICARDA TPP00315,Barley ICARDA BP00061  ;Barley ICARDA BP00061,https://glomip.cgiar.org/market-segments/profile/Barley+WA+MS00259
84,268,MS00268,,Barley,Cereals,No Germplasm Type,ICARDA,Barley WA MS00268,Barley | Non-Hybrid | WA | Feed; Malting | Amber Hulled | Optimum | Rainfed; Irrigated | Mid,,West Asia,Turkey(102338),102338,Non-Hybrid,Feed; Malting,Optimum,Irrigated; Rainfed,Mid,Amber Hulled,Current,Active,Barley WA ICARDA TPP00147,Barley ICARDA BP00063,https://glomip.cgiar.org/market-segments/profile/Barley+WA+MS00268
361,759,MS00759,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00759,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Red Mottled | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Cameroon(53277); Democratic Republic of Congo(135490),188767,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red Mottled,Current,Active,Beans CAF CIAT TPP00440,Beans CIAT BP00230,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00759
362,761,MS00761,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00761,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Central Africa,Cameroon(56096); Democratic Republic of Congo(54021),110117,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,Beans CAF CIAT TPP00441,Beans CIAT BP00231,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00761
363,764,MS00764,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00764,Beans | Non-Hybrid | CAF | Food-sugar | Speckled | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Central Africa,Cameroon(45795); Democratic Republic of Congo(72994),118789,Non-Hybrid,Food-sugar,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Speckled,Current,Active,Beans CAF CIAT TPP00444,Beans CIAT BP00012,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00764
364,765,MS00765,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00765,Beans | Non-Hybrid | CAF | Food; Small Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Central Africa,Cameroon(48304); Democratic Republic of Congo(49866),98170,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,Beans CAF CIAT TPP00445,Beans CIAT BP00257,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00765
366,770,MS00770,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00770,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | White | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(1825),1825,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,White,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00770
367,771,MS00771,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00771,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Zebras | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(912),912,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Zebras,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00771
368,772,MS00772,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00772,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Kablanketi; Purple | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(78954),78954,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Kablanketi; Purple,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00772
369,773,MS00773,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00773,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Brown; Khaki | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(4562),4562,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Brown; Khaki,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00773
370,775,MS00775,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00775,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Cream | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(1825),1825,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Cream,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00775
371,776,MS00776,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00776,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Yellow | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(41554),41554,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Yellow,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00776
372,777,MS00777,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00777,Beans | Non-Hybrid | CAF | Food; Small Sized | White | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(18248),18248,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,White,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00777
373,780,MS00780,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00780,Beans | Non-Hybrid | CAF | Food; Small Sized | Black | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Cameroon(21815),21815,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Black,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00780
374,781,MS00781,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00781,Beans | Non-Hybrid | CAF | Food; Small Sized | Brown; Khaki | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(2737),2737,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Brown; Khaki,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00781
375,782,MS00782,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS00782,Beans | Non-Hybrid | CAF | Food; Small Sized | Cream | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Central Africa,Democratic Republic of Congo(912),912,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Cream,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS00782
636,1267,MS01267,,Beans,Legumes,No Germplasm Type,CIAT,Beans CAF MS01267,Beans | Non-Hybrid | CAF | Food; Medium Sized; Large Sized | Red Mottled | Mid Altitude; High Altitude | Rainfed; Climbing | Early,,Central Africa,Democratic Republic of Congo(103886),103886,Non-Hybrid,Food; Large Sized; Medium Sized,High Altitude; Mid Altitude,Climbing; Rainfed,Early,Red Mottled,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+CAF+MS01267
188,481,MS00481,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00481,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Red Mottled | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Burundi(17246); Ethiopia(35374); Kenya(495507); Rwanda(203676); Tanzania(208983); Uganda(278523),1239309,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red Mottled,Current,Active,Beans EAF CIAT TPP00038,Beans CIAT BP00230,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00481
189,482,MS00482,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00482,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Burundi(25868); Ethiopia(29478); Kenya(148652); Rwanda(101837); Tanzania(52247); Uganda(79578),437660,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,Beans EAF CIAT TPP00342,Beans CIAT BP00231,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00482
190,485,MS00485,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00485,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Yellow | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Burundi(86226); Kenya(247754); Rwanda(13579); Tanzania(438869); Uganda(95493),881921,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Yellow,Current,Active,Beans EAF CIAT TPP00343,Beans CIAT BP00232,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00485
191,486,MS00486,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00486,Beans | Non-Hybrid | EAF | Food; Small Sized | White | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Ethiopia(176869); Uganda(15920),192789,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,White,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00486
192,491,MS00491,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00491,Beans | Non-Hybrid | EAF | Food; Small Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Ethiopia(265304); Kenya(161040); Rwanda(101837); Tanzania(62696); Uganda(39789),630666,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,Beans EAF CIAT TPP00345,Beans CIAT BP00257,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00491
193,492,MS00492,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00492,Beans | Non-Hybrid | EAF | Food-sugar; Medium Sized; Large Sized | Speckled | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Burundi(60358); Ethiopia(23583); Kenya(161040); Rwanda(6789); Tanzania(52246); Uganda(111409),415425,Non-Hybrid,Food-sugar; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Speckled,Current,Active,Beans EAF CIAT TPP00344,Beans CIAT BP00012,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00492
194,493,MS00493,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00493,Beans | Non-Hybrid | EAF | Food; Small Sized | Black | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Ethiopia(11791); Kenya(11521); Rwanda(597); Uganda(5626),29535,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Black,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00493
195,498,MS00498,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00498,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Red Mottled | Mid Altitude; High Altitude | Rainfed; Climbing | Early,,East Africa,Burundi(117756); Kenya(11815); Rwanda(67892); Uganda(45006),242469,Non-Hybrid,Food; Large Sized; Medium Sized,High Altitude; Mid Altitude,Climbing; Rainfed,Early,Red Mottled,Current,Active,Beans EAF CIAT TPP00042,Beans CIAT BP00013,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00498
196,499,MS00499,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00499,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Red | Mid Altitude; High Altitude | Rainfed; Climbing | Early,,East Africa,Burundi(94849); Rwanda(67892); Uganda(4500),167241,Non-Hybrid,Food; Large Sized; Medium Sized,High Altitude; Mid Altitude,Climbing; Rainfed,Early,Red,Current,Active,Beans EAF CIAT TPP00340,Beans CIAT BP00013,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00499
197,502,MS00502,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00502,Beans | Non-Hybrid | EAF | Food-sugar; Medium Sized; Large Sized | Speckled | Mid Altitude; High Altitude | Rainfed; Climbing | Early,,East Africa,Burundi(175094); Rwanda(33133); Uganda(79453),287680,Non-Hybrid,Food-sugar; Large Sized; Medium Sized,High Altitude; Mid Altitude,Climbing; Rainfed,Early,Speckled,Current,Active,Beans EAF CIAT TPP00341,Beans CIAT BP00013,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00502
198,507,MS00507,,Beans,Legumes,No Germplasm Type,CIAT,Beans EAF MS00507,Beans | Non-Hybrid | EAF | Food; Medium Sized; Large Sized | Kablanketi; Purple | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,East Africa,Tanzania(229883),229883,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Kablanketi; Purple,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+EAF+MS00507
210,542,MS00542,,Beans,Legumes,No Germplasm Type,CIAT,Beans LAC MS00542,Beans | Non-Hybrid | LAC | Food; Medium Sized; Large Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Latin America and the Caribbean,Bolivia(9604); Colombia(19086); Peru(21699),50389,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+LAC+MS00542
211,546,MS00546,,Beans,Legumes,No Germplasm Type,CIAT,Beans LAC MS00546,Beans | Non-Hybrid | LAC | Food; Small Sized | Black | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Latin America and the Caribbean,Argentina(157329); Bolivia(48024); Brazil(419151); Costa Rica(7716); Dominican Republic(4270); El Salvador(15332); Guatemala(194389); Haiti(220103); Mexico(424962); Nicaragua(45063); Venezuela(88115),1624454,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Black,Current,Active,Beans LAC CIAT TPP00356,Beans CIAT BP00014,https://glomip.cgiar.org/market-segments/profile/Beans+LAC+MS00546
212,547,MS00547,,Beans,Legumes,No Germplasm Type,CIAT,Beans LAC MS00547,Beans | Non-Hybrid | LAC | Food; Small Sized | White | Mid Altitude; Low Altitude | Rainfed; Bush | Early,,Latin America and the Caribbean,El Salvador(10222); Peru(9180),19402,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,White,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Beans+LAC+MS00547
213,549,MS00549,,Beans,Legumes,No Germplasm Type,CIAT,Beans LAC MS00549,Beans | Non-Hybrid | LAC | Food; Small Sized | Red | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Latin America and the Caribbean,Costa Rica(9645); El Salvador(76662); Guatemala(10340); Honduras(180762); Nicaragua(180252),457661,Non-Hybrid,Food; Small Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red,Current,Active,Beans LAC CIAT TPP00358,Beans CIAT BP00257,https://glomip.cgiar.org/market-segments/profile/Beans+LAC+MS00549
204,524,MS00524,,Beans,Legumes,No Germplasm Type,CIAT,Beans SAF MS00524,Beans | Non-Hybrid | SAF | Food; Medium Sized; Large Sized | Red Mottled | Low Altitude; Mid Altitude | Rainfed; Bush | Early,,Southern Africa,Angola(35105); Eswatini(60); Lesotho(1168); Malawi(56233); Mozambique(148371); Zambia(35884); Zimbabwe(7309),284130,Non-Hybrid,Food; Large Sized; Medium Sized,Low Altitude; Mid Altitude,Bush; Rainfed,Early,Red Mottled,Current,Active,Beans SAF CIAT TPP00039,Beans CIAT BP00230,https://glomip.cgiar.org/market-segments/profile/Beans+SAF+MS00524
